key,nubKey,nameKey,taxonID,sourceTaxonKey,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,datasetKey,constituentKey,parentKey,parent,scientificName,canonicalName,vernacularName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,remarks,numDescendants,lastCrawled,lastInterpreted,issues,class,group,basionymKey,basionym,publishedIn
9706839,9706839.0,11149352,gbif:9706839,154719814.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira praeoestrupii,4,98,7947184.0,508,7704294,9623827,9706839.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira praeoestrupii M.P.Dumont, J.G.Baldauf & J.A.Barron, 1986",Thalassiosira praeoestrupii,,"M.P.Dumont, J.G.Baldauf & J.A.Barron, 1986",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.573+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Dumont, M.P., Baldauf, J.G. & Barron, J.A. (1986). Thalassiosira praeoestrupii - a new diatom species for recognizing the Miocene/Pliocene Epoch boundary in coastal California. Micropaleontology, 32(4): 372-377"
3193510,3193510.0,17141445,gbif:3193510,154719865.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira primalabiata,4,98,7947184.0,508,7704294,9623827,3193510.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira primalabiata Gombos, 1983",Thalassiosira primalabiata,,"Gombos, 1983",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,2,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.925+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Gombos, A.M., Jr. & Ciesielski, P.F. (1983). Late Eocene to Early Miocene diatoms from the southwest Atlantic. In: Ludwig, W.J., Krasheninikov, V.A., et al., Initial Reports of the Deep Sea Drilling Project, vol. 71. Washington (U.S. Government Printing Office), 71: 583-634"
3193497,3193497.0,11149365,gbif:3193497,154700025.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira profunda,4,98,7947184.0,508,7704294,9623827,3193497.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira profunda (Hendey) Hasle, 1973",Thalassiosira profunda,,"(Hendey) Hasle, 1973",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.823+00:00,['ORIGINAL_NAME_DERIVED'],Bacillariophyceae,Thalassiosira spp.,6124957.0,Cyclotella profunda Hendey,
3193564,3193564.0,11149376,gbif:3193564,154720024.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira proschkinae,4,98,7947184.0,508,7704294,9623827,3193564.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira proschkinae Makarova, 1979",Thalassiosira proschkinae,,"Makarova, 1979",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,1,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:18.226+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Makarova, I.V., Genkal, S.I. & Kuzmin, G.V. (1979). [Species of the genus Thalassiosira Cl. (Bacillariophyta), found in continental water bodies of the USSR]. Botanicheskii Zhurnal, 64(7): 921-927"
9418901,9418901.0,17141644,gbif:9418901,154719748.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudomultipora,4,98,7947184.0,508,7704294,9623827,9418901.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira pseudomultipora Makarova, 1990",Thalassiosira pseudomultipora,,"Makarova, 1990",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:18.275+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Stidolph, S.R. (1995). A morphological and taxonomic study of the complex of diatoms assigned to Caloneis brevis (Gregory) Cleve. Diatom Research, 10(1): 165-177"
3193414,3193414.0,11149399,gbif:3193414,154720025.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana,4,98,7947184.0,508,7704294,9623827,3193414.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira pseudonana Hasle & Heimdal, 1970",Thalassiosira pseudonana,,"Hasle & Heimdal, 1970",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.846+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Hasle, G.R. & Heimdal, B.R. (1970). Some species of the centric diatom genus Thalassiosira studied in the light and electron microscopes. In: Diatomaceae II (J. Gerloff & J.B. Cholnoky, eds.). Beihefte zur Nova Hedwigia, 31: 559-589"
9403341,9403341.0,14009070,gbif:9403341,154719747.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pulchella,4,98,7947184.0,508,7704294,9623827,9403341.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira pulchella Takano, 1963",Thalassiosira pulchella,,"Takano, 1963",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:18.101+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Takano, H. (1963). Notes on marine littoral diatoms from Japan.  I.  Some adherents and cultured species. Bulletin Tokai Regional Fisheries Research Lab, 36: 1-9"
9481884,9481884.0,14009069,gbif:9481884,154719746.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira punctata,4,98,7947184.0,508,7704294,9623827,9481884.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira punctata Jousé, 1961",Thalassiosira punctata,,"Jousé, 1961",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.941+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,"Jousé, A.P. (1961). Diatomeae marinae Mioceni et Plioceni ex oriente extremo [Miocene and Pliocene marine diatoms from the Far East]. Botaniceskie materialy otdela sporovyh rastenij Botanicheskogo instituta imeni V.L. Komarova, Akademii Nauk S.S.S.R.  Notulae systematicae e sectione cryptogamica instituti botanici nomine V.L. Komarovi academiae scientiarum URSS, 14: 59-70, 3 tab."
9505135,9505135.0,14009039,gbif:9505135,154719715.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira punctatus,4,98,7947184.0,508,7704294,9623827,9505135.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,2d59e5db-57ad-41ff-97d6-11f5fb264527,9623827,Thalassiosira,"Thalassiosira punctatus Venkataraman, 1941",Thalassiosira punctatus,,"Venkataraman, 1941",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],"Possible variant of Thalassiosira punctata Jousé, 1961",0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.618+00:00,['ORTHOGRAPHIC_VARIANT'],Bacillariophyceae,Thalassiosira spp.,,,"Venkataraman, G. (1941). The ecology and seasonal succession of the algal plankton of the river Cooum at Madras, with special reference to the Diatomaceae. Proc. 27th Indian Sc. Congr. [Madras, 1940], Part III, Abstracts., 145-146"
9355965,9355965.0,17142140,gbif:9355965,102189589.0,Chromista,Ochrophyta,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira punctigera,4,98,7947184.0,508,7704294,9623827,9355965.0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,9ca92552-f23a-41a8-a140-01abaa31c931,9623827,Thalassiosira,"Thalassiosira punctigera Castracane, 1886",Thalassiosira punctigera,Diatom,"Castracane, 1886",SCIENTIFIC,SPECIES,SOURCE,ACCEPTED,[],,0,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:17.431+00:00,[],Bacillariophyceae,Thalassiosira spp.,,,
